deviceCode,ownerName,ownerAddress,ownerPhone,ownerEmail
864504031502210,Hari Dev Nanda,Marathahalli,7376344342,movehack.gov.in@gmail.com
863977033888558,Vijayent Lal Kohli,Marathahalli,7376344342,movehack.gov.in@gmail.com
863977033764239,Suraj Trivedi,Marathahalli,7376344342,movehack.gov.in@gmail.com
864504031205202,Ratan Chia,Marathahalli,7376344342,movehack.gov.in@gmail.com
864504031234988,Emran Sai Behl,Marathahalli,7376344342,movehack.gov.in@gmail.com
863977033713764,Jobin Singh Manda,Marathahalli,7376344342,movehack.gov.in@gmail.com
864504031260694,Govind Bhatnagar,Marathahalli,7376344342,movehack.gov.in@gmail.com
863977033907911,Jagat Chana,Koramangala,7376344342,movehack.gov.in@gmail.com
863977033766374,Varun Choudhury,Koramangala,7376344342,movehack.gov.in@gmail.com
864504031782226,Manpreet Ram,Koramangala,7376344342,movehack.gov.in@gmail.com
862010039078304,Kalpit Rao,Koramangala,7376344342,movehack.gov.in@gmail.com
863977033703997,Arpit Srivastava,Koramangala,7376344342,movehack.gov.in@gmail.com
863977033802534,Govind Kumar Raval,HSR Layout,7376344342,movehack.gov.in@gmail.com
864504031819929,Alex Peri,HSR Layout,7376344342,movehack.gov.in@gmail.com
864504031235647,Aadish Chandra Parikh,HSR Layout,7376344342,movehack.gov.in@gmail.com
864504031432707,Ujwal Ram,HSR Layout,7376344342,movehack.gov.in@gmail.com
863977033715231,Anil Reddy,HSR Layout,7376344342,movehack.gov.in@gmail.com
864504031218007,Amal Narayanan,Domlur,7376344342,movehack.gov.in@gmail.com
863977033612396,Kuppuram Moorthy,Domlur,7376344342,movehack.gov.in@gmail.com
863977033828794,Achyutam,Domlur,7376344342,movehack.gov.in@gmail.com
863977033827523,Neevan,Domlur,7376344342,movehack.gov.in@gmail.com
864504031035658,Rahul Jeevan,Domlur,7376344342,movehack.gov.in@gmail.com
863977033835484,Saurabh Jugani,Domlur,7376344342,movehack.gov.in@gmail.com
863977033895017,Arpit Maheshwari,Domlur,7376344342,movehack.gov.in@gmail.com
863977033828919,Aman Srivastava,Domlur,7376344342,movehack.gov.in@gmail.com
863083037582683,Harshit saxena,Domlur,7376344342,movehack.gov.in@gmail.com
